tau,w_in,w_re,prob_neu_e,acc,acc_train,num_spikes,std_spikes
80.0,2.0,2.1,0.78,0.7566666666666667,0.8941666666666667,425.705,188.63530415858003
80.0,2.0,2.1,0.78,0.765,0.92375,281.01166666666666,139.43866583754863
80.0,2.0,2.1,0.78,0.7516666666666667,0.9066666666666666,264.0366666666667,71.04155114360108
80.0,2.0,2.1,0.85,0.7683333333333333,0.9820833333333332,1025.0633333333333,500.7685752809265
80.0,2.0,2.1,0.85,0.7633333333333333,0.8916666666666667,284.1083333333333,166.77164006675582
80.0,2.0,2.1,0.85,0.77,0.9508333333333332,536.3783333333333,360.6272200817472
80.0,2.0,2.1,0.85,0.7616666666666667,0.9295833333333332,629.4283333333333,435.9956936299817
80.0,2.0,2.1,0.85,0.7916666666666666,0.9416666666666668,631.1316666666667,443.1563956406612
80.0,2.0,3.0,0.65,0.8016666666666666,0.9129166666666668,381.2633333333333,183.67652904555396
80.0,2.0,3.0,0.65,0.7183333333333334,0.97375,841.7666666666667,440.2385666380849
80.0,2.0,3.0,0.65,0.7683333333333333,0.9908333333333332,1223.4983333333332,536.6722556618911
80.0,2.0,3.0,0.65,0.7733333333333333,0.99625,1376.245,504.9523723167695
80.0,2.0,3.0,0.65,0.7333333333333333,0.9533333333333334,768.845,411.98657054366873
80.0,2.0,3.0,0.72,0.7633333333333333,0.98875,1594.618333333333,543.5258558681659
80.0,2.0,3.0,0.72,0.7366666666666667,0.9545833333333332,1025.95,593.1747725867422
80.0,2.0,3.0,0.72,0.765,0.9966666666666668,1741.9516666666666,418.6005446690463
80.0,2.0,3.0,0.72,0.74,0.9066666666666666,1344.2883333333334,601.7028933484439
80.0,2.0,3.0,0.72,0.7666666666666667,0.97625,1410.1833333333334,624.8657907014025
80.0,2.0,3.0,0.78,0.8216666666666667,0.97375,2364.335,333.4189448351728
80.0,2.0,3.0,0.78,0.7333333333333333,0.93625,965.5233333333332,598.2596867488974
80.0,2.0,3.0,0.78,0.7916666666666666,0.9833333333333332,2281.661666666667,366.7793621927978
80.0,2.0,3.0,0.78,0.8,0.9541666666666668,2706.8283333333334,381.0858331101042
80.0,2.0,3.0,0.78,0.7383333333333333,0.9525,2346.9966666666664,462.8613543192197
80.0,2.0,3.0,0.85,0.7833333333333333,0.9420833333333334,2744.975,435.6217407816863
80.0,2.0,3.0,0.85,0.7266666666666667,0.95125,1997.1683333333333,698.6112915376397
80.0,2.0,3.0,0.85,0.7466666666666667,0.92875,2227.9083333333333,663.667710477582
80.0,2.0,3.0,0.85,0.8033333333333333,0.91625,2592.525,495.73247090374593
80.0,2.0,3.0,0.85,0.785,0.92625,2874.786666666667,520.6686449386233
80.0,3.0,0.5,0.65,0.8166666666666667,0.9395833333333332,727.5116666666667,101.49618973417454
80.0,3.0,0.5,0.65,0.8266666666666667,0.9220833333333334,549.7116666666667,88.0984214608235
80.0,3.0,0.5,0.65,0.8266666666666667,0.9379166666666666,792.75,119.04029079825592
80.0,3.0,0.5,0.65,0.8383333333333334,0.9429166666666666,687.2483333333333,104.71790676489968
80.0,3.0,0.5,0.65,0.835,0.9108333333333334,610.2083333333334,103.73841267288068
80.0,3.0,0.5,0.72,0.8483333333333334,0.9220833333333334,709.0933333333334,113.1813793087106
80.0,3.0,0.5,0.72,0.8166666666666667,0.9145833333333332,616.0516666666666,92.35156918296276
80.0,3.0,0.5,0.72,0.86,0.9416666666666668,687.1333333333333,115.36967635484734
80.0,3.0,0.5,0.72,0.8233333333333334,0.9358333333333332,654.9683333333334,105.69640799898968
80.0,3.0,0.5,0.72,0.8083333333333333,0.9216666666666666,717.485,110.21678535958124
80.0,3.0,0.5,0.78,0.8366666666666667,0.9329166666666666,598.5916666666667,102.57233998771578
80.0,3.0,0.5,0.78,0.8683333333333333,0.92875,786.5016666666667,118.49178592018755
80.0,3.0,0.5,0.78,0.8416666666666667,0.9245833333333332,755.3716666666667,123.94403386430326
80.0,3.0,0.5,0.78,0.8266666666666667,0.92,798.5116666666667,121.81743114413288
80.0,3.0,0.5,0.78,0.8366666666666667,0.9320833333333334,774.9083333333333,123.508204574523
80.0,3.0,0.5,0.85,0.8366666666666667,0.94375,713.1283333333333,113.25077717417906
80.0,3.0,0.5,0.85,0.8516666666666667,0.94,687.1766666666666,114.7167328199722
80.0,3.0,0.5,0.85,0.835,0.9279166666666666,723.475,112.32362192195669
80.0,3.0,0.5,0.85,0.8733333333333333,0.9491666666666668,694.8483333333334,115.20975941251196
80.0,3.0,0.5,0.85,0.8416666666666667,0.9383333333333334,674.4216666666666,111.9972493585842
80.0,3.0,1.3,0.65,0.85,0.9429166666666666,805.6283333333333,134.36831297056443
80.0,3.0,1.3,0.65,0.8416666666666667,0.9516666666666668,654.15,98.3813371529377
80.0,3.0,1.3,0.65,0.8616666666666667,0.96625,726.3716666666667,126.4274371483061
80.0,3.0,1.3,0.65,0.86,0.9525,751.8766666666667,121.52276105962848
80.0,3.0,1.3,0.65,0.865,0.955,796.2483333333333,118.54970826853838
80.0,3.0,1.3,0.72,0.8583333333333333,0.9745833333333334,870.9966666666667,120.80809846842035
80.0,3.0,1.3,0.72,0.8216666666666667,0.9408333333333332,647.0283333333333,106.79128021779472
80.0,3.0,1.3,0.72,0.8466666666666667,0.97875,917.0583333333332,142.57493327097237
80.0,3.0,1.3,0.72,0.8416666666666667,0.9658333333333332,847.2383333333333,138.16883945818688
80.0,3.0,1.3,0.72,0.845,0.9504166666666668,737.685,128.2792751837438
80.0,3.0,1.3,0.78,0.87,0.97625,921.1316666666668,128.46298168690032
80.0,3.0,1.3,0.78,0.8316666666666667,0.9495833333333332,651.3516666666667,108.27895146590382
80.0,3.0,1.3,0.78,0.8683333333333333,0.9825,995.0766666666668,153.9245511786718
80.0,3.0,1.3,0.78,0.845,0.9720833333333332,919.1283333333332,155.24943971092313
80.0,3.0,1.3,0.78,0.8466666666666667,0.9441666666666668,778.7183333333334,138.05117045461398
80.0,3.0,1.3,0.85,0.86,0.96125,747.1633333333333,132.92260902077152
80.0,3.0,1.3,0.85,0.86,0.9675,1007.4916666666668,154.90895152924148
80.0,3.0,1.3,0.85,0.835,0.9608333333333332,998.53,177.64372331532948
80.0,3.0,1.3,0.85,0.8266666666666667,0.9683333333333334,1022.055,171.91348204353645
80.0,3.0,1.3,0.85,0.88,0.96875,1024.3,175.78230855236825
80.0,3.0,2.1,0.65,0.8233333333333334,0.9916666666666668,1050.43,194.07428586325736
80.0,3.0,2.1,0.65,0.845,0.9945833333333334,1058.888333333333,206.98903963871024
80.0,3.0,2.1,0.65,0.8483333333333334,0.965,931.7783333333332,177.57603779007522
80.0,3.0,2.1,0.65,0.8333333333333334,0.96625,988.425,176.69024980173637
80.0,3.0,2.1,0.65,0.8583333333333333,0.9870833333333332,1051.955,164.25661724366947
80.0,3.0,2.1,0.72,0.8466666666666667,1.0,1539.9983333333332,337.2596848086385
80.0,3.0,2.1,0.72,0.83,0.9908333333333332,1172.97,288.0391161514931
80.0,3.0,2.1,0.72,0.8433333333333334,0.9920833333333332,1413.93,278.3695177876582
80.0,3.0,2.1,0.72,0.86,0.9966666666666668,1611.746666666667,293.4837005506249
80.0,3.0,2.1,0.72,0.8616666666666667,0.9925,1346.14,360.4978415099504
80.0,3.0,2.1,0.78,0.8766666666666667,1.0,2219.6766666666667,288.6531288395969
80.0,3.0,2.1,0.78,0.8616666666666667,1.0,1779.3316666666667,397.3612818714923
80.0,3.0,2.1,0.78,0.8816666666666667,0.99875,2128.733333333333,241.8758474001808
80.0,3.0,2.1,0.78,0.8583333333333333,1.0,2099.773333333333,274.3093787840453
80.0,3.0,2.1,0.78,0.8533333333333334,0.9995833333333334,1933.9883333333328,390.99088420391024
80.0,3.0,2.1,0.85,0.8483333333333334,0.9995833333333334,3038.615,416.0284807257792
80.0,3.0,2.1,0.85,0.8566666666666667,1.0,3361.13,702.8205316911756
80.0,3.0,2.1,0.85,0.8483333333333334,0.9995833333333334,2748.47,379.46489837664825
80.0,3.0,2.1,0.85,0.8416666666666667,0.9970833333333332,3324.48,556.5844676237381
80.0,3.0,2.1,0.85,0.8383333333333334,1.0,3184.9,425.6445582877808
80.0,3.0,3.0,0.65,0.8666666666666667,0.99875,3082.135,518.3400879490222
80.0,3.0,3.0,0.65,0.8366666666666667,0.98875,1799.8483333333334,287.77506609136395
80.0,3.0,3.0,0.65,0.8566666666666667,0.9966666666666668,2513.273333333333,318.4119898635868
80.0,3.0,3.0,0.65,0.8333333333333334,0.9991666666666666,3738.631666666666,704.8256044326773
80.0,3.0,3.0,0.65,0.8383333333333334,0.9983333333333332,2622.9666666666667,368.2483295579523
80.0,3.0,3.0,0.72,0.8316666666666667,0.9995833333333334,4355.505,708.2879875504973
80.0,3.0,3.0,0.72,0.8366666666666667,0.9991666666666666,3040.398333333333,474.0523596227413
80.0,3.0,3.0,0.72,0.8683333333333333,0.9979166666666668,3348.9483333333333,477.2123066978563
80.0,3.0,3.0,0.72,0.825,0.9966666666666668,5000.77,723.7208419687801
80.0,3.0,3.0,0.72,0.8183333333333334,0.9891666666666666,4002.861666666666,755.2829972029616
80.0,3.0,3.0,0.78,0.86,0.99875,5219.911666666667,725.8708497594841
80.0,3.0,3.0,0.78,0.845,0.9979166666666668,4454.8966666666665,937.5494543341288
80.0,3.0,3.0,0.78,0.85,0.97625,5751.77,358.4538470059058
80.0,3.0,3.0,0.78,0.84,0.9979166666666668,5013.89,819.3158149130692
80.0,3.0,3.0,0.78,0.8383333333333334,0.9858333333333332,4723.821666666667,915.7842339750244
80.0,3.0,3.0,0.85,0.8233333333333334,0.9758333333333332,5691.73,945.9529447951768
80.0,3.0,3.0,0.85,0.8233333333333334,0.9925,5462.655,891.3168849002769
80.0,3.0,3.0,0.85,0.8433333333333334,0.9770833333333332,6182.8116666666665,734.673936426146
80.0,3.0,3.0,0.85,0.8433333333333334,0.9741666666666666,6303.79,836.1564641660475
80.0,3.0,3.0,0.85,0.8383333333333334,0.9933333333333332,5505.426666666666,854.4963104789992
